Year,Province,Waste (Ton/day),Reuse Waste (Ton/day),Right manage Waste (Ton/day),Poor manage Waste (Ton/day),Leftover Waste (Ton/day)
2556,1,518.22,107.15,4.29,406.78,79753
2556,2,11335,1410,9925,0,0
2556,3,839.53,115.72,17.89,705.92,1658387.35
2556,4,979.02,270.16,153.25,555.61,45369.65
2556,5,669.75,173.38,98.62,397.75,14095.44
2556,6,1912.21,608.23,199.28,1104.7,723691.68
2556,7,582.67,142.85,180.76,259.06,80115
2556,8,788.31,113.49,13.34,661.48,202753.2
2556,9,2349.89,318.72,1029.62,1001.55,501635
2556,10,329.97,90.35,56.4,183.22,346092
2556,11,1096.14,288.31,103.91,703.92,30101.1
2556,12,368.94,7.77,45.68,315.49,235008.75
2556,13,659.24,223.59,23.9,411.75,77919.39
2556,14,255.64,56.1,53.86,145.68,20895
2556,15,619.75,191.77,0,427.98,93560.7
2556,16,258.99,56.71,96.92,105.36,120520
2556,17,967.41,198.91,161.74,606.76,340585
2556,18,596.02,109.94,6.5,479.58,47703.21
2556,19,2692.49,279.98,513.69,1898.82,460002.38
2556,20,1042.01,15.78,22.7,1003.53,1265358
2556,21,1084.37,273.56,312.64,498.17,17190
2556,22,1541.73,320.38,1221.35,0,0
2556,23,711.07,255.04,36.81,449.22,79096
2556,24,444.57,152.53,70.07,221.97,28389.89
2556,25,354.13,112.78,38.59,202.76,18000.17
2556,26,1575.09,94.7,87.51,1392.88,124736.48
2556,27,1471.41,138.77,0,1332.64,121893
2556,28,595.52,111.91,121.36,362.25,546356.48
2556,29,538.69,82.9,5,450.79,556680
2556,30,619.56,212.72,0,406.84,67157.75
2556,31,796.19,123.74,0,672.45,585717.9
2556,32,523.57,154.37,35,334.2,102030.3
2556,33,299.69,104.86,74.29,120.54,15826.2
2556,34,502.84,145.27,41.22,316.35,84577.5
2556,35,542.5,138.78,44.95,358.77,36957
2556,36,867.38,207.85,160.52,499.01,24376
2556,37,686.77,106.83,579.94,0,0
2556,38,959.97,179.58,65.13,715.26,66562.64
2556,39,320.21,58.96,78.8,182.45,61.29
2556,40,533.83,229.4,53.51,250.92,231029.4
2556,41,488.62,116.28,133.88,238.46,20252.52
2556,42,199.17,10.64,0,188.53,296992.2
2556,43,961.9,307.09,351.14,303.67,45150
2556,44,865.29,159.79,4.44,701.06,1000122.79
2556,45,1253.59,197.89,43.11,1012.59,91979.37
2556,46,774.71,149.99,46.18,578.54,352288
2556,47,815.36,156.77,150.72,507.87,395577.6
2556,48,397.17,90.11,133.24,173.82,731.76
2556,49,1353.17,56.76,107.06,1189.35,111469.2
2556,50,1039.84,184.61,163.26,691.97,21869.82
2556,51,1597.17,594.79,74.71,927.67,2471840.4
2556,52,291.37,103.96,64.36,123.05,95148
2556,53,1935.75,184.45,0,1751.3,2063448
2556,54,250.75,40.28,4.6,205.87,68130.9
2556,55,665.39,106.91,315.03,243.45,52950
2556,56,685.14,104.58,372.15,208.41,201720
2556,57,537.86,124.02,46.5,367.34,35175
2556,58,240.85,46.39,52.23,142.23,10327.5
2556,59,848.24,130.65,58.08,659.51,144922.5
2556,60,978.19,15.13,0,963.06,1003332.6
2556,61,1302.17,28.12,84.64,1189.41,72451.83
2556,62,582.8,102.39,91.97,388.44,184257
2556,63,494.35,170.72,152.58,171.05,17237.1
2556,64,495.7,168.75,42.49,284.46,29662.2
2556,65,348.18,83.96,60.65,203.57,16304.11
2556,66,1624,515.42,322.62,785.96,7249.1
2556,67,464.85,127.73,77.93,259.19,73163
2556,68,314.17,64.78,52.5,196.89,4252.8
2556,69,1716.43,365.88,408.41,942.14,314.49
